MyHashMap,[],null,null
put,"[91367,98204]",null,null
put,"[78384,1831]",null,null
put,"[46652,68317]",null,null
put,"[28201,51233]",null,null
put,"[25234,994]",null,null
remove,[78384],null,null
remove,[32676],null,null
get,[25234],-1,994
put,"[85071,38697]",null,null
get,[78384],-1,-1
put,"[59913,98152]",null,null
remove,[82030],null,null
put,"[93728,92287]",null,null
remove,[28201],null,null
put,"[91775,40578]",null,null
put,"[48863,82410]",null,null
put,"[64262,13972]",null,null
put,"[59797,54146]",null,null
remove,[93728],null,null
remove,[91367],null,null
put,"[26102,27283]",null,null
put,"[33880,94386]",null,null
put,"[76959,35359]",null,null
get,[64262],13972,13972
put,"[61024,4548]",null,null
put,"[53284,80724]",null,null
put,"[31074,95755]",null,null
put,"[42479,55708]",null,null
put,"[23136,3608]",null,null
put,"[70302,42925]",null,null
put,"[2779,93351]",null,null
get,[33880],94386,94386
put,"[51297,97455]",null,null
put,"[52080,71725]",null,null
get,[78672],-1,-1
put,"[85212,73183]",null,null
put,"[71818,95850]",null,null
put,"[28998,56054]",null,null
put,"[29250,12059]",null,null
put,"[23230,3985]",null,null
put,"[25790,6026]",null,null
get,[54680],-1,-1
get,[78384],-1,-1
get,[73048],-1,-1
put,"[51832,22352]",null,null
put,"[92666,97366]",null,null
put,"[5639,32932]",null,null
put,"[73099,50265]",null,null
put,"[30610,20379]",null,null
put,"[30707,16682]",null,null
put,"[84347,41059]",null,null
get,[70928],-1,-1
get,[22290],-1,-1
get,[91142],-1,-1
remove,[31074],null,null
get,[25790],6026,6026
put,"[5897,30929]",null,null
remove,[73141],null,null
put,"[36895,13393]",null,null
put,"[15527,83051]",null,null
get,[34986],-1,-1
get,[97125],-1,-1
put,"[21232,36026]",null,null
remove,[68129],null,null
put,"[13262,97036]",null,null
put,"[24822,28061]",null,null
put,"[16316,12391]",null,null
remove,[60108],null,null
put,"[54801,51474]",null,null
get,[36895],13393,13393
put,"[33506,99115]",null,null
get,[7312],-1,-1
get,[33880],94386,94386
get,[30707],16682,16682
put,"[5147,7568]",null,null
remove,[31074],null,null
remove,[97711],null,null
put,"[89946,58436]",null,null
